perm_idx,sigma,success,reason,steps
0,"[0, 1, 2, 3]",True,done,12012
1,"[0, 1, 3, 2]",True,done,12012
2,"[0, 2, 1, 3]",True,done,12012
3,"[0, 2, 3, 1]",True,done,12012
4,"[0, 3, 1, 2]",True,done,12012
5,"[0, 3, 2, 1]",True,done,12012
6,"[1, 0, 2, 3]",True,done,11272
7,"[1, 0, 3, 2]",False,robot_collision,1883
8,"[1, 2, 0, 3]",True,done,11272
9,"[1, 2, 3, 0]",False,robot_collision,4446
10,"[1, 3, 0, 2]",False,robot_collision,2990
11,"[1, 3, 2, 0]",False,robot_collision,2990
12,"[2, 0, 1, 3]",False,robot_collision,4631
13,"[2, 0, 3, 1]",False,robot_collision,1883
14,"[2, 1, 0, 3]",True,done,11283
15,"[2, 1, 3, 0]",True,done,11283
16,"[2, 3, 0, 1]",True,done,5914
17,"[2, 3, 1, 0]",True,done,10841
18,"[3, 0, 1, 2]",False,robot_collision,4631
19,"[3, 0, 2, 1]",True,done,11272
20,"[3, 1, 0, 2]",True,done,11283
21,"[3, 1, 2, 0]",True,done,11283
22,"[3, 2, 0, 1]",True,done,7760
23,"[3, 2, 1, 0]",True,done,10841
